id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapTarget
80082231-9516-5ee9-ab38-88565f32cba5	20210131	1	816211006	816210007	274023003	10062168
804339f6-e1e6-50d5-b01d-e98bada069fb	20210131	1	816211006	816210007	83901003	10040767
80441965-afd2-5a6e-9854-2b23be0a933c	20210131	1	816211006	816210007	402355000	10066260
805f3fe2-077d-5adc-94e9-74e2498734d9	20210131	1	816211006	816210007	102912007	10066392
8071378c-41bc-5bf1-8530-bb1ebe293035	20210131	1	816211006	816210007	409673008	10001551
8072899e-b4a8-5cd6-889d-0a914f9ad8a1	20210131	1	816211006	816210007	66383009	10018292
807770e3-c4d5-59ce-885b-60b00fcf887b	20210131	1	816211006	816210007	450886002	10071066
807c1bbd-16a9-5b7a-9b4e-fdd2e7d678ea	20210131	1	816211006	816210007	443416007	10001231
80b203ab-a771-51cb-89ca-55fd06db83b0	20210131	1	816211006	816210007	42386007	10011490
80b6acdf-c171-504c-8d87-ea395b4625f3	20210131	1	816211006	816210007	197171003	10062070
80bab724-a39e-558c-871e-5e3962808246	20210131	1	816211006	816210007	213338000	10022061
80da80fe-4bdc-548a-b6cc-4b7ce8138eed	20230131	1	816211006	816210007	270524007	10082355
80f6382c-33d8-5cab-83cf-1abedd9f16bc	20210131	1	816211006	816210007	302343007	10022428
811b47a7-4ec0-5a08-907c-c0f640764de4	20210131	1	816211006	816210007	14783006	10020582
811c7315-7afd-56db-a99a-1b936475c664	20210131	1	816211006	816210007	10964002	10037402
8125972f-823b-501e-81aa-b834d9381ff1	20210131	1	816211006	816210007	4557003	10036477
812a22df-dcde-5a7c-aadc-ddca11f9b41e	20210131	1	816211006	816210007	57054005	10000891
812c4af6-99f8-5372-b5c8-e2638648eb8a	20210131	1	816211006	816210007	271857006	10024798
8131c1b5-7a16-589e-8ab4-37ac89b48d20	20210131	1	816211006	816210007	397766003	10048054
81743eb3-41b2-5cb7-a7cf-37c5e8fbbff6	20210131	1	816211006	816210007	116360008	10061655
81856fbe-ad81-527b-bbc0-f4fcf8407955	20230131	1	816211006	816210007	1208808004	10001732
81875957-f4d3-5524-83d8-aa5ceaec8fe8	20210131	1	816211006	816210007	443492008	10007271
81930cb0-dbe0-570f-bbeb-8682e410b903	20210131	1	816211006	816210007	43364001	10000059
81c8aade-50bf-5133-8c8b-1886370574a2	20210131	1	816211006	816210007	697965002	10067092
81d0eaa0-d373-5578-9222-defc4a62420a	20210131	1	816211006	816210007	190855004	10021028
81e85845-e954-5a45-b979-f6791dd33bc6	20220131	0	816211006	816210007	421581006	10043525
81f21f01-841f-553d-bcc2-1f87fddda7c8	20210131	1	816211006	816210007	267096005	10048967
81f9f2ca-ffb9-595e-9f4a-4505bd64859c	20210131	1	816211006	816210007	440028005	10071668
820d6339-ec34-5fb4-96f5-d5f5869d3978	20210131	1	816211006	816210007	16652001	10016016
8219a659-4a6e-57b0-b8c3-9954a00e5eca	20210131	1	816211006	816210007	403977003	10002476
82274d94-e69f-58a1-9c87-cfc0a540451e	20210131	1	816211006	816210007	897035006	10084509
822a89db-7d50-5216-8ba9-a3ff53669c73	20210131	1	816211006	816210007	59282003	10037377
82374c8d-edd7-5191-9135-56a9e68fb029	20210131	1	816211006	816210007	289259007	10049558
8253ee5a-9208-5a6a-9982-0e141e3eef16	20210131	1	816211006	816210007	193387007	10051240
826a3f3f-940b-528f-85b2-2a9f26bff0b0	20210131	1	816211006	816210007	54404000	10050217
8270bfed-7e07-5e3c-a51a-071b17aa8ba8	20210131	1	816211006	816210007	162608008	10048669
827f090a-fdca-5e81-9f2b-98e08ff4bc3e	20210131	1	816211006	816210007	373576009	10021870
82a00cfb-abdf-51f6-8f3f-282d88977f2e	20220131	1	816211006	816210007	236647003	10065584
82a77d92-87ee-5388-a134-37c7b566fa20	20210131	1	816211006	816210007	309685001	10018789
82a7b9ba-f842-58ab-9557-4a105f9068ae	20210131	1	816211006	816210007	409774005	10061218
82b0b485-bd32-5907-a93d-35890ab13b67	20210131	1	816211006	816210007	405944004	10006457
82d1f0de-9270-5cd8-b90c-e67f70c25a39	20220131	1	816211006	816210007	439332001	10079806
82d36a58-7c20-57e8-98c1-d56435268651	20210131	1	816211006	816210007	275921007	10023093
82d8fe1d-5b17-5219-90c9-480e8af18128	20210131	1	816211006	816210007	197927001	10038140
82e10e3e-2011-5c63-9044-6a5c915e9111	20210131	1	816211006	816210007	718403007	10059895
82ebc225-cf70-54d3-8000-6b35eaacea95	20210131	1	816211006	816210007	303266002	10005980
83030e41-d909-59a5-ad4f-bd723e5dacad	20210131	1	816211006	816210007	233970002	10011089
83059b0b-ae93-5f26-b747-79d8e840e77c	20210131	1	816211006	816210007	44169009	10024877
8312a890-9ebc-57f1-bc05-7825f1523aea	20210131	1	816211006	816210007	13200003	10034341
8315e3a5-9d36-5e7b-a526-948820d47712	20210131	1	816211006	816210007	160685001	10048948
831ac0fe-aedb-59a1-aa20-4cf14c827ddc	20210131	1	816211006	816210007	406506008	10003736
832d3ec6-77bf-564a-9647-3b7d36825191	20210131	1	816211006	816210007	194387002	10044392
832df6a9-eb11-5cf4-865c-237f4c400327	20210131	1	816211006	816210007	10893003	10066473
83315e6c-9126-5fa7-a6e9-9bc638b01bc9	20210131	1	816211006	816210007	247444006	10049796
83374abf-24c2-5269-99ab-973ae180794f	20210131	1	816211006	816210007	392090004	10061734
833c2c6b-6ee4-51c1-bdf8-554522198217	20210131	1	816211006	816210007	52613005	10034734
83470c7a-e2b2-521e-b14d-1bb3b039d504	20210131	1	816211006	816210007	35455006	10001099
8361da61-76b7-56de-8e91-b55a9f107442	20210131	1	816211006	816210007	266254007	10048964
8369b525-b07e-50a4-abd3-90b4684ea265	20230131	0	816211006	816210007	314997007	10055097
836c843f-8257-5ed0-9146-df66099d6d84	20210131	1	816211006	816210007	9293002	10046763
8376ff57-8b68-5bf5-9bea-ee34bc5bd7e6	20210131	1	816211006	816210007	781067001	10036050
839548f4-3422-548e-818d-e9fb77853a3f	20210131	1	816211006	816210007	128822004	10000846
83a8d1d4-eaed-557e-8a77-2a2e537e517f	20210131	1	816211006	816210007	197928006	10009160
83c00599-3e58-5b9e-aef1-340538dff810	20210131	1	816211006	816210007	230802007	10049054
83c709e0-28ec-501a-b283-ca8888da0af4	20210131	1	816211006	816210007	409089005	10016288
83ccc7e9-8725-5f47-bfb7-6a5bd91ddb21	20210131	1	816211006	816210007	414795007	10028601
83ced407-2414-5948-b302-29dddfb68ee4	20210131	1	816211006	816210007	408647009	10001150
83d4e473-d2ab-589c-b697-986955c12a55	20220131	0	816211006	816210007	704426000	10049875
83e057b8-ce6e-5c09-9c41-472bf9c0e4ee	20210131	1	816211006	816210007	276444007	10018123
83e0a97e-bae2-56ea-bd46-8ab41eb3a554	20210131	1	816211006	816210007	265379004	10023180
840317f9-d6fb-53ea-9844-95a8d08895f7	20230131	1	816211006	816210007	1217301006	10065923
841dcf8d-f640-56f0-a511-dc3476026078	20220131	0	816211006	816210007	127189005	10003871
842128b7-db59-5cfe-9948-680c62a924ce	20210131	1	816211006	816210007	4103001	10037214
843236b7-e6e8-5f9d-9863-a6157828cefd	20210131	1	816211006	816210007	310501001	10029847
84368f86-1151-5e8d-aca2-7f9b341275a7	20210131	1	816211006	816210007	95898004	10043839
84499402-7ff6-556c-a5a5-ba4d11019b16	20210131	1	816211006	816210007	128045006	10007882
844bcbcc-a8ba-58d6-9f7b-2db2b207cd66	20210131	1	816211006	816210007	771115008	10020680
845de5ae-7fd3-53ee-9b23-f7cd03638d51	20210131	1	816211006	816210007	42010004	10079537
845f813d-d18b-50d5-9fff-062e5ef1a3b5	20210131	1	816211006	816210007	233405004	10066102
84606e08-ba65-5c70-8bc9-a9b15a13540c	20210131	1	816211006	816210007	88092000	10028289
84685ac0-d990-51e2-921e-d2cc4d1418ca	20210131	1	816211006	816210007	16294009	10041660
